query_id,query
1,"On which date was the commission set to release its report?"
2,"Who was the president of the United States on March 18, 2022?"
3,"Who served as Vice President of the United States under Barack Obama versus under Donald Trump?"
4,"Who were the main candidates in the Russian presidential election of 2012 compared to the main candidates in the U.S. presidential election of 2016?"
5,"Who was President of the United States on December 31, 2016, and which head of state sent New Year greetings to the President-elect?"
6,"Who became the 45th President of the United States on January 20, 2017?"
7,"Which president denied reports of bribes, and which organization was involved?"
8,"Which former Asian football president received a lifetime ban, and by which governing body?"
9,"What is the current status of Trump's legal challenges?"
10,"When was the most recent mention of sanctions against Russia?"
11,"What was former French President Nicolas Sarkozy's first reported prison sentence?"
12,"Which presidential resignation is the earliest mentioned in the collection?"
